State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,05/08/2025,3400,3500,3500
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,05/08/2025,3600,4550,4130
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,05/08/2025,700,1200,1000
"Andhra Pradesh",Chittor,Vayalapadu,Tomato,Hybrid,FAQ,05/08/2025,4200,4600,4400
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(Red),Large,05/08/2025,2100,3200,2900
"Andhra Pradesh",Krishna,Tiruvuru,"Dry Chillies","Dry Chillies",FAQ,05/08/2025,11500,13500,12500
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,05/08/2025,2300,2500,2400
"Andhra Pradesh","West Godavari",Chintalapudi,Lemon,Lemon,FAQ,05/08/2025,1400,2000,1700
"Andhra Pradesh","West Godavari",Denduluru,Lime,Lime,Medium,05/08/2025,1000,2600,1800
Assam,Goalpara,Simlitola,"Bitter gourd","Bitter Gourd",Local,05/08/2025,1800,2400,1800
Assam,Goalpara,Simlitola,Capsicum,Capsicum,Local,05/08/2025,1800,2400,2200
Assam,Goalpara,Simlitola,Ginger(Green),"Green Ginger",Local,05/08/2025,3000,4000,4000
Assam,Goalpara,Simlitola,Pumpkin,Pumpkin,Local,05/08/2025,1200,1500,1300
Assam,Golaghat,Golaghat,Cabbage,Cabbage,Local,05/08/2025,2500,2800,2600
Assam,Sibsagar,Sibsagar,Capsicum,Capsicum,Local,05/08/2025,2000,2200,2200
Bihar,Banka,Barahat,Onion,Medium,FAQ,05/08/2025,3000,3500,3200
Gujarat,Ahmedabad,Viramgam,"Sesamum(Sesame,Gingelly,Til)",Other,Non-FAQ,05/08/2025,7225,9500,8360
Gujarat,Ahmedabad,Viramgam,Wheat,Other,Non-FAQ,05/08/2025,2640,2695,2670
Gujarat,Amreli,Babra,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,05/08/2025,7700,8240,7820
Gujarat,Amreli,Babra,"Cummin Seed(Jeera)",Other,FAQ,05/08/2025,13120,18180,15650
Gujarat,Amreli,Babra,Wheat,Other,FAQ,05/08/2025,2395,2605,2500
Gujarat,Amreli,Bagasara,Wheat,"Lokwan Gujrat",Non-FAQ,05/08/2025,2250,2555,2402
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,05/08/2025,650,1550,1200
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,05/08/2025,200,500,450
Gujarat,Amreli,Savarkundla,"Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,05/08/2025,5400,5950,5725
Gujarat,Amreli,Savarkundla,Cotton,"Narma BT Cotton",FAQ,05/08/2025,7000,8325,7900
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",Non-FAQ,05/08/2025,7250,8005,7500
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),"Jowar ( White)",FAQ,05/08/2025,2250,3630,2900
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,05/08/2025,2250,2750,2500
Gujarat,Banaskanth,Vadgam,Groundnut,Other,Non-FAQ,05/08/2025,3200,3875,3850
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,05/08/2025,2700,3300,3000
Gujarat,Bhavnagar,"Mahuva(Station Road)",Onion,Red,FAQ,05/08/2025,445,1480,760
Gujarat,"Chhota Udaipur","Modasar        ",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,05/08/2025,6750,6900,6850
Gujarat,Gandhinagar,Dehgam,"Castor Seed",Other,FAQ,05/08/2025,6275,6380,6327
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,05/08/2025,2625,2680,2652
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,05/08/2025,4375,4600,4487
Gujarat,Gandhinagar,Kalol,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,05/08/2025,2000,2350,2150
Gujarat,Gandhinagar,Kalol,Jowar(Sorghum),Other,FAQ,05/08/2025,3750,4200,3950
Gujarat,Gandhinagar,Kalol,Wheat,Other,FAQ,05/08/2025,2650,2810,2750
Gujarat,Jamnagar,Dhrol,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,05/08/2025,5300,5500,5400
Gujarat,Jamnagar,Dhrol,Cotton,Other,FAQ,05/08/2025,5525,6000,5765
Gujarat,Jamnagar,Dhrol,"Green Gram (Moong)(Whole)",Other,FAQ,05/08/2025,6400,7350,6875
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,05/08/2025,6100,9755,7930
Gujarat,Kachchh,Anjar,"Corriander seed",Other,FAQ,05/08/2025,5810,5810,5810
Gujarat,Kachchh,Bhuj,Onion,Small,FAQ,05/08/2025,1200,1700,1450
Gujarat,Kheda,Kapadvanj,"Bottle gourd",Other,FAQ,05/08/2025,1500,2000,1700
Gujarat,Kheda,Kapadvanj,Brinjal,Other,FAQ,05/08/2025,1500,2000,1750
Gujarat,Morbi,Halvad,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,05/08/2025,1500,1900,1800
Gujarat,Morbi,Halvad,"Castor Seed",Other,FAQ,05/08/2025,6300,6430,6400
Gujarat,Morbi,Halvad,"Guar Seed(Cluster Beans Seed)",Other,FAQ,05/08/2025,3500,4985,4750
Gujarat,Morbi,Vankaner,"Cummin Seed(Jeera)",Other,FAQ,05/08/2025,15500,18505,17250
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,05/08/2025,1250,2250,1750
Gujarat,Navsari,Navsari,"Bottle gourd","Bottle Gourd",FAQ,05/08/2025,2000,2500,2250
Gujarat,Navsari,Navsari,Cabbage,Cabbage,FAQ,05/08/2025,1000,1200,1100
Gujarat,Navsari,Navsari,"Pointed gourd (Parval)",Other,FAQ,05/08/2025,5500,6000,5750
Gujarat,Patan,Sami,"Castor Seed","Castor seed",FAQ,05/08/2025,6400,6465,6425
Gujarat,Patan,Siddhpur,"Guar Seed(Cluster Beans Seed)",Split,FAQ,05/08/2025,4000,4850,4425
Gujarat,Porbandar,Porbandar,Apple,Apple,Large,05/08/2025,5000,10000,7500
Gujarat,Porbandar,Porbandar,"Bhindi(Ladies Finger)",Bhindi,FAQ,05/08/2025,2000,3000,2500
Gujarat,Porbandar,Porbandar,"Corriander seed","Coriander Seed",FAQ,05/08/2025,5400,7100,6250
Gujarat,Porbandar,Porbandar,Groundnut,Bold,Non-FAQ,05/08/2025,4500,4500,4500
Gujarat,Porbandar,Porbandar,Onion,Other,FAQ,05/08/2025,1000,1500,1250
Gujarat,Porbandar,Porbandar,Wheat,Other,FAQ,05/08/2025,2675,2680,2675
Gujarat,Porbandar,Porbandar,"White Peas",Other,FAQ,05/08/2025,3775,3775,3775
Gujarat,Rajkot,Dhoraji,"Ground Nut Seed","Ground Nut Seed",FAQ,05/08/2025,5750,6755,6505
Gujarat,Rajkot,Dhoraji,Groundnut,G20,Non-FAQ,05/08/2025,3880,5030,5030
Gujarat,Rajkot,Dhoraji,Soyabean,Yellow,Non-FAQ,05/08/2025,4355,4430,4380
Gujarat,Rajkot,Jetpur(Dist.Rajkot),"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,05/08/2025,5500,6280,6000
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Other,FAQ,05/08/2025,3550,5530,5375
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Wheat,Other,FAQ,05/08/2025,2605,2770,2700
Gujarat,Rajkot,Rajkot,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,05/08/2025,4750,5950,5865
Gujarat,Rajkot,Rajkot,"Castor Seed",Caster,FAQ,05/08/2025,6100,6440,6250
Gujarat,Rajkot,Rajkot,"Corriander seed","A-1, Green",FAQ,05/08/2025,6555,7335,6950
Gujarat,Rajkot,Rajkot,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,05/08/2025,6500,8055,7625
Gujarat,Rajkot,Rajkot,"Ground Nut Seed","Ground Nut Seed",FAQ,05/08/2025,6625,7000,6850
Gujarat,Rajkot,Rajkot,Wheat,Sharbati,FAQ,05/08/2025,2605,2810,2670
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Potato,Desi,FAQ,05/08/2025,825,1765,1295
Gujarat,Sabarkantha,Modasa(Tintoi),"Bajra(Pearl Millet/Cumbu)",Hybrid,Non-FAQ,05/08/2025,2150,2325,2325
Gujarat,Sabarkantha,Modasa(Tintoi),Wheat,Lokwan,FAQ,05/08/2025,2400,2575,2575
Gujarat,Surat,Songadh,Guar,Gwar,FAQ,05/08/2025,4500,6000,5100
Gujarat,Surat,Songadh(Umrada),Guar,Guaar,FAQ,05/08/2025,4500,6000,5100
Gujarat,Surendranagar,"Dasada Patadi","Isabgul (Psyllium)","Isabgul (Psyllium)",FAQ,05/08/2025,7650,8310,8000
Gujarat,Surendranagar,Dhragradhra,Soanf,Soanf,FAQ,05/08/2025,6045,6970,6500
Gujarat,Surendranagar,Vadhvan,"Bottle gourd","Bottle Gourd",FAQ,05/08/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,05/08/2025,2500,3000,2750
Gujarat,Surendranagar,Vadhvan,Cucumbar(Kheera),Cucumbar,FAQ,05/08/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Guar,Gwar,FAQ,05/08/2025,6000,6500,6250
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,05/08/2025,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Methi(Leaves),Methi,FAQ,05/08/2025,2000,3000,2500
Gujarat,Vadodara(Baroda),Padra,"Bhindi(Ladies Finger)",Other,FAQ,05/08/2025,1750,2750,2250
Gujarat,Vadodara(Baroda),Padra,"Bottle gourd",Other,FAQ,05/08/2025,1000,2250,1650
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,05/08/2025,1000,1500,1250
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,05/08/2025,1750,2500,2150
Gujarat,Valsad,Chikli(Khorgam),"Bitter gourd",Other,FAQ,05/08/2025,2000,2500,2250
